Name,Owned
Bodge,Yes
Splatter,Yes
Scrumpy,Yes
Misty,No
Zeke,Yes
Bruce,Yes
Ping,No
Melena,Yes
Myrtle,No
Freddy,No
Humphrey,Yes
Jeepers,Yes
ShiShi,No
Burnie,No
DJ Quack,Yes
Prof. Purplex,No
Peppy,Yes
Tiki,Yes
Subwoofer,Yes
Pinestein,No
Prof. Heff,Yes
Pizmo,Yes
Travis,No
Weegul,Yes
Bubbly,Yes
Dinky,No
Chirpy,No
Snookums,Yes
Pooky,Yes
Doris,Yes
Gurgle,Yes
Edison,Yes
Holmes,Yes
Casey,No
Sir Barkington,Yes
Plumpty,Yes
Drake,Yes
Moolena,No
Gilbert,Yes
Peep,Yes
Stanley,Yes
Blurp,No
Cali,No
Fumble,No
Dipsy,Yes
Honey,No
Flumpy,No
I.G.G.Y.,No
Hansel,No
Coolio,Yes
Cutie Pie,No
Oddie,Yes
Willow,No
Otto,Yes
Pipsi,No
Eugene,Yes
Splitz,Yes
Squelch,Yes
Quincy,Yes
Fopkin,No
Snuggy,Yes
Threddie,Yes
Astro,Yes
Bao,Yes
Gumdrop,No
Harley,Yes
Nancy,Yes
Benedict,Yes
Shrewman,Yes
Chio,No
Dudley,No
Funguy,No
Hocus,Yes
Fusty,Yes
Jen,Yes
Wuzzle,No
Pipa,No
Moxy,Yes
Purrsley,No
Gumpty,Yes
Vinnie,Yes
Hissy,Yes
Swizzle,No
YoYo,Yes
Little Bad Bill,Yes
Little Chief Two Scoops,Yes
Crazy Bill,No
Big Chief Bill,No
Twistmas Hoodoo,No
Princess Pearl,No
Prof. Rachel Lime,Yes
Purdy,Yes
Gingersnap,Yes
Lady Meowford,Yes
Waldo,No
Mrs. Snoodle,No
Troy,Yes
King Brian,No
Gideon,Yes
Furnando,Yes
Tingaling,Yes
O'Really,Yes
Penny,Yes
Kat,No
Mrs. Meowford,No
Saphy,Yes
Winnie,Yes
Jackson,Yes
Fitch,Yes
Marty,No
Blinki,No
Toasty,Yes
Yolka,Yes
Fizzy,Yes
Suey,No
Hot Wings,Yes
Mumbo,Yes
Vernon,No
Toots,No
Scarlet O'Haira,Yes
Long Beard,No
Jessie,Yes
Shambles,No
Weeny,Yes
Marcel,Yes
Raffles,Yes
Shoney,No
Peeps,No
Topsy Turvy,Yes
Mitzi,Yes
Doyle,No
Chop Chop,Yes
Sooki-Yaki,Yes
Shelby,Yes
General Fuzuki,Yes
Betty,Yes
Boomer,Yes
Cherry Bomb,Yes
Judder,Yes
CocoLoco,Yes
Shelly,Yes
Nutmeg,Yes
Pip,No
Clarence,No
Harmy,No
Hellie,No
Kaboom,Yes
Angel,Yes
Priscilla,Yes
